"treatment","g2pname","genotype","DASanthesis","DASmaturity","DATanthesis","DATmaturity","fruitno","fruitlength","fruitwidth","fruitshapeindex","fruitweight","yield","pollenconcentration","pollenactivity","cluster"
"stress2","GPC003330","PPC36",62.3333333333333,94,26.3333333333333,58,13.8333333333333,4.7,4.56666666666667,1.03,26.9333333333333,2.82666666666667,24460,8.53333333333333,2
"stress2","GPC003350","PPC37",67.6666666666667,93.3333333333333,31.6666666666667,57.3333333333333,12.39,4.46666666666667,5.4,0.83,36.3333333333333,3.45,32242,4.19333333333333,2
"stress2","GPC003370","PPC38",77.6666666666667,109,41.6666666666667,73,28.5996087456847,4.65664749488753,3.36415388548057,1.7262768404908,15.51961400818,4.01631915165453,46567.3333333333,3.96333333333333,2
"stress2","GPC003380","PPC39",72,109.666666666667,36,73.6666666666667,1.06333333333333,3,4.76666666666667,0.633333333333333,27,0.23,11810.3333333333,4.43,2
"stress2","GPC003410","PPC40",63,90,27,54,49.4,8.56666666666667,2.86666666666667,2.99,18,6.58,32041.6666666667,6.40666666666667,2
"stress2","GPC003460","PPC41",61.6666666666667,94,25.6666666666667,58,22.3466666666667,7.2,2.03333333333333,3.54,7.46666666666667,1.31,27893,15.7666666666667,2
"stress2","GPC003500","PPC42",69,106.666666666667,33,70.6666666666667,7.07,4.4,2.66666666666667,1.69,12.35,0.663333333333333,6911.33333333333,4.00666666666667,2
"stress2","GPC004110","PPC43",63.3333333333333,107.666666666667,27.3333333333333,71.6666666666667,87.4533333333333,2.03333333333333,1.66666666666667,1.22,2.53333333333333,1.59666666666667,12651.3333333333,12.6833333333333,2
"stress2","GPC004160","PPC44",63.3333333333333,96,27.3333333333333,60,52.74,6.3,2.06666666666667,3.06,9.86666666666667,3.89,25870,16.9066666666667,2
"stress2","GPC005130","PPC45",71.6666666666667,91.6666666666667,35.6666666666667,55.6666666666667,9.32,7.96666666666667,3.03333333333333,2.62666666666667,18.5,1.32,23487.3333333333,3.07666666666667,2
"stress2","GPC005180","PPC46",67.6666666666667,93.3333333333333,31.6666666666667,57.3333333333333,26.3333333333333,7.26666666666667,2.33333333333333,3.11,10.8,2.36333333333333,23223.6666666667,9.52666666666667,2
"stress2","GPC005200","PPC47",72,93.3333333333333,36,57.3333333333333,19.8166666666667,7.43333333333333,4.06666666666667,1.82666666666667,21.6,2.42666666666667,21439.6666666667,4.06666666666667,2
"stress2","GPC005370","PPC48",76,110.942171910975,40,71.5093246354566,37.95,2.16666666666667,1.2,1.82,1.53333333333333,0.49,7283.33333333333,5.78666666666667,2
"stress2","GPC005420","PPC49",70,120.628114607316,34,82.3395497569711,34.9458841580361,5.01329498977505,2.19497443762781,2.5125536809816,15.2392280163599,5.46930496997573,9106.66666666667,1.62666666666667,2
"stress2","GPC005480","PPC50",60.3333333333333,93.3333333333333,24.3333333333333,57.3333333333333,67.7766666666667,4.43333333333333,1.16666666666667,3.8,2.53333333333333,1.32333333333333,5411,4.81,2
